#{"t_start": 1736528470.7258098, "env_id": "footsteps-planning-any-withball-v0"}
r,l,t
-55.235572,50,47.625801
-55.77463,50,48.615161
-55.523977,50,49.624478
-58.277706,50,50.611515
-58.42011,50,51.578326
-53.371872,50,52.565114
-58.12462,50,53.560665
-54.990302,50,54.556846
-53.999364,50,55.643593
-54.399341,50,56.62715
-56.148423,50,57.632006
-55.597193,50,58.640883
-57.452273,50,59.612649
-57.080774,50,60.617812
-56.734802,50,61.587407
-55.153694,50,62.586319
-58.00436,50,63.564882
-56.786604,50,64.555776
-58.425887,50,65.53426
-58.09329,50,66.485873
-56.428546,50,67.463612
-53.521668,50,68.588332
-59.520232,50,69.614326
-58.300681,50,70.662144
-56.829453,50,71.658597
-57.259515,50,72.655095
-54.821514,50,73.782826
-54.790824,50,75.85094
-56.516157,50,76.851599
-56.006359,50,77.868988
-56.25109,50,78.867642
-55.711332,50,79.823267
-56.912804,50,80.845107
-56.978635,50,81.951523
-100.068668,50,83.039486
-58.920858,50,84.087742
-55.593709,50,85.07051
-55.743352,50,86.046315
-60.980206,50,87.091506
-54.566762,50,88.133881
-60.261789,50,89.144202
-57.739051,50,90.170177
-58.705088,50,91.226902
-53.494691,50,92.257992
-54.330365,50,93.25582
-55.624067,50,94.283456
-57.001317,50,95.283125
-57.342754,50,96.340337
-55.205655,50,97.340379
-57.165236,50,98.340726
-57.625186,50,99.294091
-54.510845,50,100.243884
-58.437642,50,101.207935
-56.202437,50,102.174105
-58.631705,50,103.099223
-57.170181,50,104.036665
-73.510336,50,104.981122
-59.207871,50,105.919579
-56.654907,50,106.868758
-53.541423,50,107.811069
-56.255887,50,108.751892
-58.063152,50,109.693808
-57.600115,50,110.602816
-55.537639,50,111.564915
-57.691626,50,112.594218
-53.629295,50,113.971614
-56.463357,50,115.535967
-59.823297,50,116.616434
-55.588007,50,117.653894
-57.641421,50,118.744128
-56.187973,50,119.780558
-55.775039,50,120.812398
-56.72389,50,121.857642
-54.287852,50,122.883464
-57.570409,50,124.008947
-56.733016,50,125.032081
-54.850977,50,126.091208
-58.239525,50,127.285244
-57.33805,50,128.334382
-59.697801,50,129.378884
-62.20707,50,130.421478
-52.792004,50,131.383167
-59.813012,50,132.546692
-57.624472,50,134.144346
-56.531035,50,135.383939
-58.111726,50,136.33011
-52.385624,50,137.380505
-56.910809,50,138.374228
-56.03225,50,139.419281
-55.290856,50,140.403854
-55.677318,50,141.402379
-54.938754,50,142.381892
-55.578276,50,143.364966
-55.418739,50,144.603477
-60.692199,50,145.725997
-61.485976,50,147.290409
-55.737387,50,148.546535
-58.877161,50,149.510839
-57.953805,50,150.47511
-70.156133,50,151.481406
-56.149869,50,152.451519
-54.647536,50,153.419255
-55.181105,50,154.403007
-55.445199,50,155.376587
-56.097319,50,156.725638
